Year,RANK,Country name,Regional indicator,Happiness score,Whisker-high,Whisker-low,Log GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Dystopia + residual
2020,40,Bahrain,Middle East and North Africa,6.227300167,6.387789249,6.066811085,1.296692252,1.31532371,0.838836372,0.610399902,0.287453711,0.126697257,1.751917362
2020,41,Lithuania,Central and Eastern Europe,6.215499878,6.302118301,6.128881454,1.193559647,1.432865739,0.795421183,0.42046079,0.053691041,0.081350274,2.238146067
2020,42,Trinidad and Tobago,Latin America and Caribbean,6.191899776,6.416218758,5.967580795,1.167641521,1.407326221,0.658828557,0.55293113,0.199358255,0.015078396,2.190695763
2020,43,Poland,Central and Eastern Europe,6.186299801,6.255880356,6.116719246,1.16922915,1.310399771,0.868038476,0.557903528,0.063374244,0.160541251,2.056797981
2020,44,Colombia,Latin America and Caribbean,6.163400173,6.274102688,6.052697659,0.93220371,1.33445096,0.810020149,0.526890039,0.092374094,0.04584837,2.421656609
2020,45,Cyprus,Western Europe,6.15899992,6.258187771,6.059812069,1.21279943,1.149170756,1.026124597,0.459385872,0.227932334,0.051207144,2.032334805
2020,46,Nicaragua,Latin America and Caribbean,6.13710022,6.262318611,6.011881828,0.620033145,1.27081275,0.803093255,0.560117304,0.212871477,0.174084574,2.496081114
2020,47,Romania,Central and Eastern Europe,6.123700142,6.216668129,6.030732155,1.120401621,1.1944381,0.79229486,0.534852326,0.068181619,0.000829569,2.412749767
2020,48,Kuwait,Middle East and North Africa,6.102099895,6.206563473,5.997636318,1.424833655,1.244779825,0.776468933,0.570261419,0.132751092,0.112814933,1.840167999
2020,49,Mauritius,Sub-Saharan Africa,6.101299763,6.213463783,5.989135742,1.07366395,1.395666838,0.763389409,0.590838134,0.186894551,0.084088229,2.006720543
2020,50,Kazakhstan,Commonwealth of Independent States,6.057899952,6.1426301,5.973169804,1.122594237,1.453267694,0.698788941,0.497432142,0.153713793,0.110463686,2.021602631
2020,51,Estonia,Central and Eastern Europe,6.021800041,6.092330933,5.95126915,1.192441225,1.453232527,0.842615008,0.576664805,0.125136748,0.201766819,1.629928112
2020,52,Philippines,Southeast Asia,6.006000042,6.103722572,5.908277512,0.775120676,1.245381713,0.602189481,0.621915162,0.129260212,0.130385727,2.501741886
2020,53,Hungary,Central and Eastern Europe,6.000400066,6.077767372,5.923032761,1.164307117,1.423009396,0.806793869,0.386401802,0.070491239,0.027548173,2.121845722
2020,54,Thailand,Southeast Asia,5.998799801,6.082288742,5.91531086,1.007029295,1.347519517,0.793855846,0.609449804,0.376709014,0.031837862,1.832384109
2020,55,Argentina,Latin America and Caribbean,5.974699974,6.079445839,5.869954109,1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,0.060415059,2.072540998
2020,56,Honduras,Latin America and Caribbean,5.953199863,6.082033634,5.824366093,0.598763585,1.186664104,0.791989982,0.568148077,0.256528199,0.086807102,2.464295387
2020,57,Latvia,Central and Eastern Europe,5.949999809,6.018282413,5.881717205,1.14139545,1.414398789,0.777902424,0.329198807,0.075407945,0.090391524,2.121283054
2020,58,Ecuador,Latin America and Caribbean,5.925199986,6.028846264,5.821553707,0.853383601,1.221027613,0.838837743,0.555234551,0.115006477,0.086753383,2.254933834
2020,59,Portugal,Western Europe,5.910900116,6.015089989,5.806710243,1.168800831,1.339530349,0.979315281,0.589895189,0.053036947,0.027733466,1.752558708
2020,60,Jamaica,Latin America and Caribbean,5.889800072,6.126157284,5.65344286,0.779058397,1.408289194,0.788434088,0.553124607,0.116268493,0.030147785,2.214436531
2020,61,South Korea,East Asia,5.872399807,5.958806515,5.785993099,1.245300651,1.133560538,1.022542596,0.25935635,0.170303866,0.094596282,1.946757078
2020,62,Japan,East Asia,5.870800018,5.951927662,5.789672375,1.26672411,1.332338691,1.072881341,0.495465875,0.03571178,0.181439638,1.486200333
2020,63,Peru,Latin America and Caribbean,5.796800137,5.916970253,5.67663002,0.91854918,1.208405972,0.824444175,0.513210058,0.091611817,0.02703266,2.213499546
2020,64,Serbia,Central and Eastern Europe,5.77820015,5.877596378,5.678803921,0.988181829,1.327448964,0.828403294,0.395428419,0.15028289,0.059447147,2.029040098
2020,65,Bolivia,Latin America and Caribbean,5.747499943,5.846765041,5.648234844,0.730976343,1.142350554,0.662445664,0.5744645,0.138375074,0.072942637,2.425928593
2020,66,Pakistan,South Asia,5.69329977,5.78780365,5.598795891,0.616799474,0.872979581,0.469933242,0.405421734,0.228705063,0.122592121,2.976876736
2020,67,Paraguay,Latin America and Caribbean,5.692100048,5.793937683,5.590262413,0.897990823,1.36819756,0.735869646,0.586510062,0.204299241,0.065077379,1.83412528
2020,68,Dominican Republic,Latin America and Caribbean,5.689199924,5.826069355,5.552330494,0.983191848,1.328888893,0.741901696,0.5628739,0.112196781,0.115945682,1.844246864
2020,69,Bosnia and Herzegovina,Central and Eastern Europe,5.674099922,5.765016556,5.583183289,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,0.001172487,2.16724205
2020,70,Moldova,Commonwealth of Independent States,5.607500076,5.690360069,5.524640083,0.707916796,1.237312198,0.713299453,0.389571488,0.174049184,0.014378744,2.370968342
2020,71,Tajikistan,Commonwealth of Independent States,5.555699825,5.619050026,5.492349625,0.474874616,1.218377709,0.680594802,0.521141171,0.182417125,0.221779913,2.25650835
2020,72,Montenegro,Central and Eastern Europe,5.54610014,5.642112255,5.450088024,1.010150075,1.265657902,0.839028895,0.303223848,0.14901033,0.098435111,1.880565882
2020,73,Russia,Commonwealth of Independent States,5.546000004,5.623634815,5.468365192,1.126999617,1.378644109,0.68044591,0.399499595,0.099041916,0.045699362,1.815716743
2020,74,Kyrgyzstan,Commonwealth of Independent States,5.541500092,5.627108097,5.455892086,0.513180971,1.341036677,0.680645883,0.614617765,0.30137074,0.030466691,2.060206652
2020,75,Belarus,Commonwealth of Independent States,5.539899826,5.612537384,5.467262268,1.018854499,1.38713932,0.75258857,0.290755868,0.08993306,0.193607435,1.8069911
2020,76,North Cyprus,Western Europe,5.53550005,5.635532856,5.435467243,1.21279943,1.183089137,1.026124597,0.477885723,0.199160054,0.199802905,1.23668766
2020,77,Greece,Western Europe,5.514999866,5.606986046,5.423013687,1.128070116,1.168973565,0.979431748,0.173516348,0.0,0.048844352,2.016179085
2020,78,Hong Kong S.A.R. of China,East Asia,5.510399818,5.600596905,5.420202732,1.376746058,1.243584275,1.136630654,0.459356517,0.288280904,0.332485437,0.673293114
2020,79,Croatia,Central and Eastern Europe,5.504700184,5.578756332,5.430644035,1.109024286,1.311264873,0.900575578,0.381456882,0.113998979,0.012325006,1.676029205
2020,80,Libya,Middle East and North Africa,5.488800049,5.607727528,5.36987257,1.021913767,1.196283698,0.615626633,0.451354057,0.142757699,0.172258079,1.888563156
2020,81,Mongolia,East Asia,5.456200123,5.535213947,5.377186298,0.904872775,1.458930612,0.615788162,0.355703115,0.263885736,0.046533126,1.810527563
2020,82,Malaysia,Southeast Asia,5.384300232,5.479953289,5.288647175,1.168421626,1.17400229,0.788511872,0.596941531,0.274886161,0.062163133,1.319420815
2020,83,Vietnam,Southeast Asia,5.353499889,5.41974926,5.287250519,0.718092382,1.253074765,0.819133997,0.650835574,0.136488721,0.089848459,1.685977936
2020,84,Indonesia,Southeast Asia,5.285600185,5.379077435,5.192122936,0.891720712,1.154800892,0.610437036,0.568161428,0.542646527,0.038278613,1.479573488
2020,85,Ivory Coast,Sub-Saharan Africa,5.233300209,5.376567364,5.090033054,0.537094414,0.799727261,0.154942513,0.397122532,0.169915587,0.093495794,3.081022501
2020,86,Benin,Sub-Saharan Africa,5.21600008,5.368408203,5.063591957,0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,0.125931874,3.440809727
2020,87,Maldives,South Asia,5.197599888,5.338691235,5.056508541,0.937864304,1.402287602,0.914439559,0.548203647,0.224198252,0.071906492,1.098674774
2020,88,Congo (Brazzaville),Sub-Saharan Africa,5.194399834,5.345376492,5.043423176,0.633616745,0.757636011,0.458101124,0.386514395,0.117216013,0.118670784,2.722619534
2020,89,Azerbaijan,Commonwealth of Independent States,5.164800167,5.231826782,5.097773552,0.990272701,1.180613041,0.731134057,0.467734724,0.040113214,0.247307181,1.507632971
2020,90,Macedonia,Central and Eastern Europe,5.159800053,5.251452446,5.068147659,0.935371995,1.183173537,0.802994132,0.410224587,0.18586354,0.024595059,1.617594957
2020,91,Ghana,Sub-Saharan Africa,5.147999763,5.262923717,5.033075809,0.575862467,0.96636796,0.432162255,0.477290064,0.261291206,0.056570381,2.378437281
2020,92,Nepal,South Asia,5.137199879,5.250276566,5.024123192,0.444050372,1.100789309,0.66887939,0.480608255,0.300971806,0.127502963,2.014386892
2020,93,Turkey,Middle East and North Africa,5.131800175,5.20988369,5.05371666,1.127169251,1.197159171,0.781335294,0.25440076,0.085885569,0.120983243,1.564816713
2020,94,China,East Asia,5.123899937,5.174667358,5.073132515,0.990533412,1.132080674,0.867248535,0.601605117,0.079021044,0.117255554,1.336181879
2020,95,Turkmenistan,Commonwealth of Independent States,5.119100094,5.17668438,5.061515808,1.008963585,1.510476947,0.612448037,0.515236676,0.323129326,0.03350389,1.115337372
2020,96,Bulgaria,Central and Eastern Europe,5.101500034,5.188173294,5.014826775,1.046554685,1.460578918,0.777776897,0.417820066,0.103833713,0.0,1.294961452
2020,97,Morocco,Middle East and North Africa,5.094799995,5.203875065,4.985724926,0.75862211,0.645208478,0.745096922,0.450054139,0.040032551,0.077385604,2.378402472
2020,98,Cameroon,Sub-Saharan Africa,5.084899902,5.216800213,4.952999592,0.503958046,0.89972645,0.270189553,0.439242482,0.198020101,0.054393422,2.719370842
2020,99,Venezuela,Latin America and Caribbean,5.053199768,5.179189682,4.927209854,0.770238638,1.348546863,0.76702553,0.271717221,0.087179154,0.063624777,1.74484086
2020,100,Algeria,Middle East and North Africa,5.005099773,5.09180212,4.918397427,0.943856001,1.143003583,0.745418549,0.083943799,0.118915014,0.129190654,1.840811729
2020,101,Senegal,Sub-Saharan Africa,4.980800152,5.084227562,4.877372742,0.504061818,0.95459342,0.518391907,0.352400899,0.164397135,0.081865937,2.405123949
2020,102,Guinea,Sub-Saharan Africa,4.949299812,5.09246254,4.806137085,0.390007734,0.75136596,0.333655238,0.371878058,0.249490842,0.112204559,2.740729809
2020,103,Niger,Sub-Saharan Africa,4.909599781,5.060927868,4.758271694,0.108330332,0.703800142,0.298816353,0.435311615,0.208176896,0.137554765,3.017630577
2020,104,Laos,Southeast Asia,4.888599873,4.967526436,4.809673309,0.714693844,0.987391889,0.486378282,0.612027287,0.27266711,0.194273964,1.621152639
2020,105,Albania,Central and Eastern Europe,4.882699966,4.992686749,4.772713184,0.906653047,0.830483913,0.846329629,0.461945891,0.171027765,0.025361285,1.640897036
2020,106,Cambodia,Southeast Asia,4.848400116,4.962093353,4.734706879,0.544634938,1.071426034,0.587904334,0.674940348,0.233342081,0.072837502,1.663300037
2020,107,Bangladesh,South Asia,4.832799911,4.911443233,4.75415659,0.556156278,0.868800581,0.694940507,0.604130566,0.176745117,0.176735908,1.755261898
2020,108,Gabon,Sub-Saharan Africa,4.829299927,4.947425842,4.711174011,0.988044381,1.10639751,0.522574842,0.369459897,0.052013602,0.055804539,1.735027552
2020,109,South Africa,Sub-Saharan Africa,4.814099789,4.931746006,4.696453571,0.902140439,1.259086251,0.407034069,0.43478182,0.126406848,0.05950214,1.625117302
2020,110,Iraq,Middle East and North Africa,4.784800053,4.937272072,4.632328033,0.982018709,1.011466622,0.529350698,0.283588052,0.153002068,0.073164992,1.752173662
2020,111,Lebanon,Middle East and North Africa,4.771500111,4.857257843,4.685742378,0.889232516,1.19249332,0.788671136,0.18551667,0.158524141,0.021518147,1.53554225
2020,112,Burkina Faso,Sub-Saharan Africa,4.768700123,4.890351772,4.647048473,0.302467644,0.9293859,0.312833875,0.322398156,0.186390609,0.126408055,2.588826418
2020,113,Gambia,Sub-Saharan Africa,4.750599861,4.882240772,4.61895895,0.256990552,0.882678688,0.353247881,0.403419524,0.425989687,0.158093795,2.270216465
2020,114,Mali,Sub-Saharan Africa,4.729300022,4.855451107,4.603148937,0.352462649,0.97314173,0.234981522,0.377534449,0.16966705,0.062146276,2.559335232
2020,115,Nigeria,Sub-Saharan Africa,4.724100113,4.826248169,4.621952057,0.645901859,0.986717939,0.167835936,0.435079455,0.221328124,0.047589935,2.219635487
2020,116,Armenia,Commonwealth of Independent States,4.676799774,4.791646481,4.561953068,0.808262408,1.034576893,0.77585727,0.378075808,0.107225738,0.104618184,1.468161583
2020,117,Georgia,Commonwealth of Independent States,4.672599792,4.757698059,4.587501526,0.847198069,0.7311939,0.694657624,0.485494107,0.047609735,0.174088076,1.69239831
2020,118,Iran,Middle East and North Africa,4.672399998,4.78192091,4.562879086,1.029322505,0.886271179,0.749053836,0.301195472,0.27697894,0.142651513,1.286969423
2020,119,Jordan,Middle East and North Africa,4.633399963,4.748552322,4.518247604,0.785179198,1.140118599,0.777624726,0.424855083,0.091494769,0.151878625,1.262258053
2020,120,Mozambique,Sub-Saharan Africa,4.623600006,4.778996944,4.468203068,0.178741366,0.955202878,0.324223638,0.56077534,0.220422104,0.163064316,2.221216202
2020,121,Kenya,Sub-Saharan Africa,4.583000183,4.715898037,4.450102329,0.476413399,0.905077755,0.536312759,0.519180536,0.393902093,0.067201078,1.684904575
2020,122,Namibia,Sub-Saharan Africa,4.571100235,4.690628052,4.451572418,0.84008199,1.245738149,0.40687117,0.444598973,0.076454483,0.054320343,1.503033161
2020,123,Ukraine,Commonwealth of Independent States,4.56069994,4.658080578,4.463319302,0.780434608,1.321316481,0.698674381,0.319423705,0.178551316,0.00965116,1.252669334
2020,124,Liberia,Sub-Saharan Africa,4.557899952,4.71853447,4.397265434,0.174103007,0.920733929,0.392284274,0.405943096,0.226967871,0.051139876,2.386757851
2020,125,Palestinian Territories,Middle East and North Africa,4.552800179,4.662314892,4.443285465,0.587819219,1.194755554,0.613826573,0.29870075,0.091816261,0.071913652,1.693985701
2020,126,Uganda,Sub-Saharan Africa,4.43200016,4.566251278,4.297749043,0.312337428,1.052327394,0.378311664,0.401682556,0.264807373,0.063818842,1.958671093
2020,127,Chad,Sub-Saharan Africa,4.422699928,4.570153236,4.27524662,0.302287489,0.739118278,0.1087441,0.228601769,0.210805088,0.085755408,2.74742651
2020,128,Tunisia,Middle East and North Africa,4.392199993,4.489554405,4.294845581,0.874742687,0.872167706,0.781156719,0.235860556,0.055881143,0.043899573,1.528496742
2020,129,Mauritania,Sub-Saharan Africa,4.374599934,4.482583046,4.266616821,0.539684892,1.113323569,0.425184816,0.185714483,0.128899664,0.122257635,1.85955739
2020,130,Sri Lanka,South Asia,4.327000141,4.431047916,4.222952366,0.897986948,1.19494009,0.792036712,0.528632462,0.252666146,0.049444564,0.611288548
2020,131,Congo (Kinshasa),Sub-Saharan Africa,4.31099987,4.524636269,4.097363472,0.062487468,0.833055019,0.277212054,0.36462298,0.254324883,0.081466645,2.437864304
2020,132,Swaziland,Sub-Saharan Africa,4.308100224,4.448145866,4.168054581,0.827539742,1.064835191,0.215585828,0.299935788,0.067264833,0.146765873,1.686207294
2020,133,Myanmar,Southeast Asia,4.308000088,4.392180443,4.223819733,0.67809093,1.098178267,0.495443076,0.597478867,0.569813728,0.187530354,0.681462526
2020,134,Comoros,Sub-Saharan Africa,4.288599968,4.453906536,4.1232934,0.415620774,0.723232806,0.437383324,0.181028232,0.258538276,0.100048535,2.17276907
2020,135,Togo,Sub-Saharan Africa,4.187200069,4.309713364,4.064686775,0.268116266,0.547622859,0.342731178,0.303539038,0.200774252,0.114826456,2.409595251
2020,136,Ethiopia,Sub-Saharan Africa,4.186200142,4.262473583,4.109926701,0.315125644,1.001103282,0.483846247,0.41256687,0.227698103,0.117437035,1.628459215
2020,137,Madagascar,Sub-Saharan Africa,4.165599823,4.278382301,4.052817345,0.244553208,0.823694348,0.500617027,0.192967549,0.191190064,0.076248638,2.136298418
2020,138,Egypt,Middle East and North Africa,4.151400089,4.221919537,4.080880642,0.875228941,0.982539535,0.596911311,0.373684734,0.068801254,0.095461793,1.158818245
2020,139,Sierra Leone,Sub-Saharan Africa,3.926399946,4.046255589,3.806544304,0.240560383,0.747984946,0.203953966,0.382027686,0.257647008,0.047940936,2.046271801
2020,140,Burundi,Sub-Saharan Africa,3.775300026,3.98526001,3.565340042,0.0,0.403575271,0.295212835,0.275399059,0.187401786,0.212186828,2.401507378
2020,141,Zambia,Sub-Saharan Africa,3.759399891,3.878326178,3.640473604,0.536833763,0.896037281,0.36359334,0.49131754,0.250620902,0.086705238,1.134339333
2020,142,Haiti,Latin America and Caribbean,3.720799923,3.919667482,3.521932364,0.284734428,0.646671355,0.37436673,0.169297516,0.463909656,0.161935672,1.619916916
2020,143,Lesotho,Sub-Saharan Africa,3.652800083,3.813757181,3.491842985,0.45493874,1.088940024,0.100934811,0.409367532,0.102627642,0.050483823,1.445513964
2020,144,India,South Asia,3.573299885,3.627596378,3.519003391,0.730576158,0.644198656,0.54057014,0.581142247,0.237072483,0.105587982,0.734130859
2020,145,Malawi,Sub-Saharan Africa,3.538000107,3.675710678,3.400289536,0.176534727,0.53036809,0.446163297,0.487389833,0.213185057,0.131633952,1.552718282
2020,146,Yemen,Middle East and North Africa,3.527400017,3.633549929,3.421250105,0.392701775,1.177477121,0.41500017,0.243721485,0.094689012,0.087352127,1.116472721
2020,147,Botswana,Sub-Saharan Africa,3.478899956,3.597563744,3.360236168,0.997548997,1.08569479,0.494101733,0.50908941,0.033407487,0.101786368,0.257240534
2020,148,Tanzania,Sub-Saharan Africa,3.476200104,3.600091219,3.352308989,0.457163125,0.872674644,0.442677855,0.509343088,0.27154091,0.203880861,0.718963385
2020,149,Central African Republic,Sub-Saharan Africa,3.475899935,3.701658487,3.250141382,0.041072082,0.0,0.0,0.292814463,0.253513217,0.028264718,2.860197544
2020,150,Rwanda,Sub-Saharan Africa,3.312299967,3.415053368,3.209546566,0.343242675,0.522876322,0.572383285,0.604087889,0.235704988,0.485542476,0.548444986
2020,151,Zimbabwe,Sub-Saharan Africa,3.299200058,3.414201975,3.184198141,0.425564021,1.047835231,0.375037611,0.37740472,0.151349187,0.080928579,0.841031075
2020,152,South Sudan,Sub-Saharan Africa,2.816600084,3.027516365,2.605683804,0.289082974,0.553278506,0.208809033,0.065609254,0.209934607,0.111156799,1.378751278
2020,153,Afghanistan,South Asia,2.566900015,2.628270388,2.505529642,0.30070585,0.356433839,0.266051531,0.0,0.135234714,0.001225785,1.507235646
2021,1,Finland,Western Europe,7.842,7.904,7.78,1.446,1.106,0.741,0.691,0.124,0.481,3.253
2021,2,Denmark,Western Europe,7.62,7.687,7.552,1.502,1.108,0.763,0.686,0.208,0.485,2.868
2021,3,Switzerland,Western Europe,7.571,7.643,7.5,1.566,1.079,0.816,0.653,0.204,0.413,2.839
2021,4,Iceland,Western Europe,7.554,7.67,7.438,1.482,1.172,0.772,0.698,0.293,0.17,2.967
2021,5,Netherlands,Western Europe,7.464,7.518,7.41,1.501,1.079,0.753,0.647,0.302,0.384,2.798
2021,6,Norway,Western Europe,7.392,7.462,7.323,1.543,1.108,0.782,0.703,0.249,0.427,2.58
2021,7,Sweden,Western Europe,7.363,7.433,7.293,1.478,1.062,0.763,0.685,0.244,0.448,2.683
2021,8,Luxembourg,Western Europe,7.324,7.396,7.252,1.751,1.003,0.76,0.639,0.166,0.353,2.653
2021,9,New Zealand,North America and ANZ,7.277,7.355,7.198,1.4,1.094,0.785,0.665,0.276,0.445,2.612
2021,10,Austria,Western Europe,7.268,7.337,7.198,1.492,1.062,0.782,0.64,0.215,0.292,2.784
2021,11,Australia,North America and ANZ,7.183,7.265,7.102,1.453,1.076,0.801,0.647,0.291,0.317,2.598
2021,12,Israel,Middle East and North Africa,7.157,7.224,7.09,1.376,1.074,0.788,0.509,0.208,0.119,3.083
2021,13,Germany,Western Europe,7.155,7.232,7.077,1.48,0.993,0.757,0.6,0.195,0.306,2.824
2021,14,Canada,North America and ANZ,7.103,7.185,7.021,1.447,1.044,0.798,0.648,0.246,0.335,2.585
2021,15,Ireland,Western Europe,7.085,7.164,7.006,1.644,1.092,0.753,0.606,0.238,0.367,2.384
2021,16,Costa Rica,Latin America and Caribbean,7.069,7.179,6.96,1.134,0.966,0.722,0.673,0.105,0.083,3.387
2021,17,United Kingdom,Western Europe,7.064,7.138,6.99,1.423,1.062,0.757,0.58,0.34,0.306,2.596
2021,18,Czech Republic,Central and Eastern Europe,6.965,7.062,6.868,1.37,1.09,0.703,0.58,0.052,0.046,3.124
2021,19,United States,North America and ANZ,6.951,7.047,6.856,1.533,1.03,0.621,0.554,0.252,0.154,2.807
2021,20,Belgium,Western Europe,6.834,6.901,6.767,1.463,0.998,0.747,0.489,0.088,0.187,2.862
2021,21,France,Western Europe,6.69,6.762,6.618,1.421,1.081,0.804,0.536,0.092,0.235,2.521
2021,22,Bahrain,Middle East and North Africa,6.647,6.779,6.514,1.409,0.899,0.662,0.661,0.246,0.139,2.631
2021,23,Malta,Western Europe,6.602,6.688,6.516,1.411,1.055,0.747,0.664,0.275,0.183,2.268
2021,24,Taiwan Province of China,East Asia,6.584,6.659,6.51,1.48,0.982,0.665,0.49,0.142,0.139,2.687
2021,25,United Arab Emirates,Middle East and North Africa,6.561,6.637,6.484,1.555,0.86,0.594,0.67,0.236,0.223,2.422
2021,26,Saudi Arabia,Middle East and North Africa,6.494,6.604,6.384,1.435,0.964,0.571,0.603,0.09,0.163,2.668
